DateTime,AddedIPs,RemovedIPs
1512429654,1,0
1513301582,0,3
1513824694,2,2
1513911877,1,0
1514086136,0,1
1514260367,1,0
1514871416,1,0
1515176743,1,0
1515526273,1,0
1515613411,1,0
1516399003,0,1
1516573289,0,1
1517096458,0,1
1517270933,0,1
1517532270,1,0
1517619398,0,1
1517793904,0,1
1518142363,0,2
1518229485,1,0
1518403976,2,1
1518491319,1,0
1518578677,1,0
1518665829,0,1
1519537249,0,1
1520147585,0,1
1520234679,1,0
1520496760,0,1
1520583882,1,0
1520758364,2,1
1521019966,0,2
1521107202,0,2
1521717628,1,0
1522808862,0,1
1523376980,0,1
1524074187,0,0
1524161332,0,1
1524248617,0,1
1524423185,0,1
1524597888,0,1
1526353309,12,0
1526527719,0,1
1526789096,0,1
1527138293,0,1
1527225417,0,0
1527312681,0,0
1527400190,1,2
1527487428,0,2
1527749088,0,1
1527836203,0,0
1527923331,0,0
1528184671,1,0
1528271777,0,0
1528533175,0,1
1528881634,1,0
1529055879,0,1
1529665958,1,1
1530058120,0,1
1530232418,1,0
1531190699,0,1
1531539191,4174,0
1531887877,0,3471
1531974990,0,4
1532062120,0,4
1532149302,0,4
1532236612,0,3
1532323706,4,8
1532410836,1,8
1532498026,1,6
1532585079,4,5
1532672211,2,10
1532759312,4,5
1532846450,1,6
1532933806,3,4
1533021277,2,2
1533108769,5,6
1533196127,2,7
1533283239,0,4
1533370340,0,1
1533457483,4,4
1533544612,1,15
1533631715,1,7
1533718982,0,11
1533806206,0,5
1533893305,0,10
1533980424,1,3
1534067538,1,11
1534154668,1,2
1534241783,1,4
1534329171,3,0
1534416281,0,7
1534503811,1,1
1534590987,0,1
1534678398,2,2
1534765562,1,1
1534852613,5,5
1534939721,6,3
1535026852,8,2
1535113966,1,1
1535201198,5,1
1535288564,0,6
1535375734,1,7
1535463178,0,2
1535550261,2,3
1535637444,1,5
1535724772,2,3
1535811905,4,1
1535899254,1,0
1535986360,2,3
1536073741,2,3
1536160835,2,5
1536248233,4,4
1536335302,0,2
1536422513,3,1
1536509805,3,0
1536596945,1,0
1536684030,0,1
1536771164,3,2
1536858326,1,1
1536945411,1,1
1537032759,1,2
1537119891,2,1
1537206975,2,2
1537381465,2,4
1537468843,0,2
1537555974,3,0
1537643059,1,2
1537730216,0,4
1537817308,0,3
1537904428,0,2
1537991832,1,3
1538078939,3,0
1538166287,0,1
1538253403,1,0
1538340514,2,2
1538427936,1,3
1538515008,7,4
1538602095,2,2
1538689250,1,0
1538776612,2,0
1538863739,2,3
1538950851,1,0
1539037960,2,5
1539125099,2,0
1539212185,2,4
1539299312,2,4
1539386452,1,1
1539473591,1,0
1539647786,1,2
1539734942,1,1
1539822039,1,1
1539909153,0,3
1539996527,1,1
1540083889,1,0
1540258380,1,2
1540345525,1,1
1540432915,1,1
1540520206,1,2
1540607303,0,2
1540694432,1,4
1540781562,2,2
1540868701,1,1
1540956048,0,4
1541043403,0,2
1541130506,3,4
1541217718,1,0
1541305011,1,0
1541392382,1,1
1541479734,3,4
1541567154,1,2
1541654204,3,4
1541741333,2,3
1541828665,3,1
1541915823,1,2
1542003181,1,0
1542090287,2,2
1542264741,3,2
1542352222,0,2
1542439231,3,1
1542526350,2,0
1542613478,0,4
1542700608,0,1
1542787730,3,0
1542874830,0,1
1543049072,1,1
1543223329,1,2
1543310706,1,0
1543397821,0,4
1543484898,1,1
1543572304,1,6
1543659647,1,2
1543746771,1,4
1543833887,1,2
1544008135,4,1
1544182835,2,2
1544270246,1,3
1544357322,1,2
1544444459,2,0
1544531816,1,0
1544706298,1,1
1544793414,2,1
1545055021,2,1
1545142123,1,0
1545229293,0,2
1545316378,3,1
1545403497,0,1
1545490622,0,1
1545577728,0,1
1545664870,1,1
1545751983,1,1
1545839083,0,1
1545970402,1,2
1546057480,1,1
1546144588,0,1
1546406216,1,1
1546493318,1,0
1546580694,1,1
1546667792,3,2
1546754915,1,1
1546842076,0,1
1546929163,2,1
1547016282,1,2
1547103417,1,1
1547191042,0,2
1547278133,2,2
1547365245,2,1
1547452659,1,1
1547539725,3,0
1547627114,0,1
1547714189,0,1
1547801601,2,0
1547888734,1,1
1547975791,1,2
1548062907,2,0
1548150022,2,0
1548324787,0,1
1548411891,0,1
1548499252,1,0
1548586382,0,1
1548673744,1,2
1548760844,1,0
1548935060,0,1
1549022204,0,2
1549283806,0,1
1549370933,0,2
1549458104,1,0
1549545150,0,3
1549632284,0,1
1549719399,2,1
1549806524,0,4
1549893702,0,1
1549980744,0,2
1550067908,0,3
1550155011,2,1
1550242103,1,0
1550416350,1,1
1550503480,1,1
1550677735,0,3
1550764895,1,1
1550851967,1,2
1550939092,2,1
1551026195,1,0
1551113582,1,1
1551200714,1,1
1551550419,0,2
1551637482,0,1
1551811716,3,0
1551898962,1,0
1552073296,1,0
1552160422,1,0
1552334934,1,1
1552509155,2,0
1552596291,1,3
1552857631,1,1
1553119291,3,0
1553293455,0,1
1553380581,3,2
1553467700,1,1
1553554895,1,1
1553641943,0,2
